n_factors,reg_all,lr_all,n_epochs,random_state,mean_rmse,std_rmse,mean_mae
42,0.09035858209516255,0.0021804435918442574,25,42,0.9459955930969954,0.004076863199294093,0.750740759373049
97,0.025550891653570322,0.0002664656476717455,22,42,1.002554775563526,0.0032907711832131266,0.8079585592087598
45,0.14384080720647446,0.001474422576697538,17,42,0.9583936547767291,0.0034795795378954626,0.763505177352558
64,0.17833431116801463,0.0072748852884032865,20,42,0.9437434631223554,0.0073490389710807085,0.7506493512354273
15,0.3697382905051895,0.016687350970641533,14,42,0.9564149942411178,0.0064086350422385314,0.7649849720819357
114,0.07192232861202234,0.007015993574234692,19,42,0.9238739198705839,0.004315620252371261,0.7305951193543158
64,0.19311291403549885,0.0005533841461157833,27,42,0.9720355405741493,0.004072890553888735,0.7772636845215224
89,0.2352886539996486,0.0003415561438063935,42,42,0.9746815613821767,0.0051902445170336755,0.7806330894641337
30,0.43675932977094545,0.00013425051262104363,14,42,1.057579236915486,0.004144115606949289,0.8783428481373645
41,0.19859570436908863,0.001213481488869407,37,42,0.951875207609435,0.002045571186487289,0.7583467823999054
148,0.44943896037485004,0.06391621474993639,12,42,0.9774581360100024,0.0043696707280863,0.7824745684661294
73,0.22640041019347984,0.047900567398789215,26,42,0.9543810714324646,0.006358358425849984,0.7610387855286442
62,0.47179358388705206,0.02131390123012919,21,42,0.9628465500638164,0.004969168350318849,0.7729201350980051
97,0.1502495818711787,0.00019475092765048165,26,42,1.01105073789769,0.004683209207668989,0.8193947153182501
36,0.48004323618657446,0.0010221661677447447,26,42,0.9719734261358706,0.0039229599595583834,0.7812870013095902
49,0.35191496803129235,0.00019801891206574902,49,42,0.9898315893531937,0.00712914154838558,0.7978291971303884
80,0.48127592238380323,0.00020163264820263025,41,42,0.999394640948639,0.0032817562089699197,0.8094825440481204
14,0.11499430827929262,0.004321180722646089,39,42,0.9366803373951493,0.008216261906604272,0.7424052678895663
55,0.13978101188834158,0.0005990217177338703,38,42,0.9600910874564397,0.005709024939945133,0.7648831345834723
114,0.3799942745107759,0.0015387001476355753,24,42,0.9628145612778072,0.0056167733221758045,0.7716024437529383
104,0.26603931472521275,0.0004936973882377624,49,42,0.9644101498664359,0.003295100579236698,0.7710806035232937
97,0.2051523028889395,0.02709802491412603,22,42,0.9418734967861917,0.0030461127186943936,0.7496749523536292
31,0.04338411425003918,0.0036101491904009,45,42,0.9236788678359036,0.004387602859037658,0.7275418570484347
29,0.0771233283190491,0.0005907676968511998,23,42,0.9707039288108966,0.008075403264237255,0.7743496449567986
85,0.14987453122127736,0.0005630203856901709,41,42,0.9606974083005568,0.004575873621678057,0.7655982777450798
55,0.2627547965570423,0.03562508690670164,18,42,0.9574625926147551,0.0035081945146064274,0.7639347389580077
57,0.4166355734797326,0.00024182969906489974,27,42,1.0053459622082417,0.005594058912302245,0.8158120069520004
26,0.48902216640921853,0.005865952590000233,49,42,0.9598832521547358,0.00237809919557255,0.7703267963045605
130,0.26175326505760205,0.00024962753035848487,36,42,0.9906918393357758,0.005666837236808621,0.7973135844037406
32,0.47978511166626536,0.0010605352194575316,41,42,0.9657242951929714,0.005872975047918118,0.7754906537930836
